"616","St. Joseph's Catholic School ","535 Birchbank Drive","Corunna","N0N1G0","St Clair CDSB","809233","Yes",,"
","0"
"617","Courtice North Public School","1675 Nash Rd","Courtice","L1E2L8","Kawartha Pine Ridge DSB","69841","Yes",,"
","0"
"618","Courtice Secondary School","1717 Nash Rd","Courtice","L1E2L8","Kawartha Pine Ridge DSB","903078","Yes",,"Yes
","0"
"619","Dr. Emily Stowe Public School","71 Sandringham Dr","Courtice","L1E1W8","Kawartha Pine Ridge DSB","136891",,,"Yes
","0"
"620","S. T.  Worden Public School","1462 Nash Rd","Courtice","L1E1S7","Kawartha Pine Ridge DSB","501557",,,"Yes
","0"
"621","Courtland Public School","1012 Queen St","Courtland","N0J1E0","Grand Erie DSB","126306","Yes",,"
","0"
"622","Our Lady of Fatima","120 Talbot Rd","Courtland","N0J1E0","Brant Haldimand Norfolk CDSB","743968",,,"Yes
","0"
"623","Stephen Central Public School","70042 Goshen Line RR 3","Crediton","N0M1N0","Avon Maitland DSB","535508",,,"Yes
","0"
"624","Nottawasaga & Creemore Public School","240 Collingwood St","Creemore","L0M1E0","Simcoe County DSB","412570","Yes",,"
","0"
"625","E Elem C Notre-Dame-du-Rosaire","9 Ouest concession","Crysler","K0A1R0","CSDC de l'Est ontarien","707465","Yes",,"Yes
","0"
"626","St. George","3800 Wellington Rd","Crystal Beach","L0S1B0","Niagara CDSB","744743","Yes",,"
","0"
"627","Severn Shores Public School","2746 Cumberland Road","Cumberland Beach","L0K1G0","Simcoe County DSB","636037","Yes","Yes","
","0"
"628","Laggan PS","20345 Laggan-Glenelg Road RR 1","Dalkeith","K0B1E0","Upper Canada DSB","303429","Yes",,"
","0"
"629","Our Lady of Mount Carmel School","69220 Bronson Line RR 3","Dashwood","N0M1N0","Huron Perth CDSB","747211","Yes",,"
","0"
"630","MacKenzie Community School Elementary","87 Brockhouse Way","Deep River","K0J1P0","Renfrew County DSB","291404","Yes"," ","Yes
","0"
"631","MacKenzie Community School Secondary","87 Brockhouse Way","Deep River","K0J1P0","Renfrew County DSB","904767","Yes"," ","Yes
","0"
"632","St Mary's Sep S","40 Central Ave","Deep River","K6V4N5","CDSB of Eastern Ontario","828726","Yes"," "," 
","0"
"633","D.D.S.S.-Turning Point","393 James St","Delhi","N4B1X9","Grand Erie DSB","903728","Yes","Yes","
","0"
"634","Delhi District Secondary School","393 James St","Delhi","N4B2B6","Grand Erie DSB","903728","Yes",,"
","0"
"635","Delhi PS","227 Queen St","Delhi","N4B2K6","Grand Erie DSB","136441","Yes",,"
","0"
"636","St. Frances Cabrini","373 Northern Ave","Delhi","N4B2R4","Brant Haldimand Norfolk CDSB","789984",,,"Yes
","0"
"637","Central Algoma Elementary (Formerly Johnson-Tarbutt","5 Margaret St","Desbarats","P0R1E0","Algoma DSB","285552","Yes"," "," 
","0"
"638","Central Algoma Intermediate School","Kensington Road","Desbarats","P0R1E0","Algoma DSB","137967","Yes"," "," 
","0"
"639","Central Algoma Secondary School","1 Kensington Rd","Desbarats","P0R1E0","Algoma DSB","891347","Yes","Yes  "," 
","0"
"640","Crossroads School","Highway 613 1","Devlin","P0W1C0","Rainy River DSB","97209","Yes",,"
","0"
"641","Lord Dorchester Secondary School","61 Queen St","Dorchester","N0L1G2","Thames Valley DSB","904503","Yes",,"
","0"
"642","Dorion PS","175 Dorion Loop Road RR 1","Dorion","P0T1K0","Superior-Greenstone DSB","142689","Yes",,"
","0"
"643","Admanston Township Public School","5346 Queen St E","Douglas","K0J1S0","Renfrew County CDSB","835226","Yes",,"Yes
","0"
"644","Opeongo HS","1990 Cobden Rd RR 1","Douglas","K0J1S0","Renfrew County DSB","932434","Yes"," ","
","0"
"645","St. Michael's Sep S","5346 Queen St E","Douglas","J0J1S0","Renfrew County CDSB","835226","Yes"," ","Yes
","0"
"646","E Sep St-Etienne","79 Houle avenue","Dowling","P0M1R0","CSDC du Nouvel-Ontario","789607","Yes",," 
","0"
"647","Larchwood PS","43 Main St","Dowling","P0M1R0","Rainbow DSB","145807","Yes",," 
","0"
"648","Centre Peel PS","7623 Sixth Line RR 2","Drayton","N0G1P0","Upper Grand DSB","99139","Yes",,"
","0"
"649","Dawn Euphemia School","4587 Bentpath Line RR 4","Dresden","N0P1M0","Lambton Kent DSB","135135",,,"Yes
","0"
"650","Dresden Area Central School","941 North St","Dresden","N0P1M0","Lambton Kent DSB","148660","Yes",,"
","0"
"651","Lambton Kent Composite School","231 St George St N","Dresden","N0P1M0","Lambton Kent DSB","921530",,,"Yes
","0"
"652","Blenheim District Public School","32 Wilmot Street S","Drumbo","N0J1G0","Thames Valley DSB","467572",,,"Yes
","0"
"653","Dryden High School","79 Casimir Ave","Dryden","P8N2H4","Keewatin-Patricia DSB","905283","Yes",,"
","0"
"654","Dryden High School Alternative Education Program","79 Casimir Ave","Dryden","P8N2H4","Keewatin-Patricia DSB","905283","Yes",,"
","0"
"655","Prospect Public School","289 Wice Rd","Dryden","P8N3H6","Keewatin-Patricia DSB","406929","Yes",,"
","0"
"656","Open Roads","20 Davis St","Dryden","P8N1R4","Keewatin-Patricia DSB","486663","Yes",,"
","0"
"657","St Josephs Sep S","185 Parkdale Rd","Dryden","P8N1S5","Northwest CDSB","813770",,,"Yes
","0"
"658","St. Columban / St. Patricks","44106 Line 34 RR 2","Dublin","N0K1E0","Huron Perth CDSB","731226","Yes",,"
","0"
"659","E Sep Saint Joseph (Dubreuilville)","149 du Parc avenue","Dubreuilville","P0S1B0","CSDC du Nouvel-Ontario","811599","Yes"," ","Yes  
","0"
"660","Whitestone Lake Central S","9 Moore Dr","Dunchurch","P0A1G0","Near North DSB","605220","Yes",,"
","0"
"661","Dundalk & Proton Community School","251 Young St","Dundalk","N0C1B0","Bluewater DSB","458554","Yes",,"
","0"
"662","Highpoint Elementary","351 Main St W","Dundalk","N0C1B0","Bluewater DSB","152820","Yes",,"
","0"
"663","St. Augustines School","25 Alma St","Dundas","L9H2C9","Hamilton-Wentworth CDSB","775681","Yes",,"
","0"
"664","Anna Melick Memorial S","1347 Hutchinson Rd RR 8","Dunnville","N1A2W7","Grand Erie DSB","19224",,,"Yes
","0"
"665","Dunnville Secondary School","110 Helena St","Dunnville","N1A2S5","Grand Erie DSB","906069","Yes",,"
","0"
"666","Fairview Avenue PS","223 Fairview Ave W","Dunnville","N1A1M4","Grand Erie DSB","192341","Yes",,"
","0"
"667","Grandview Central PS","11 Thrush St","Dunnville","N1A1X7","Grand Erie DSB","227196","Yes",,"
","0"
"668","St. Michael's","209 Alder Street West","Dunnville","N1A1R3","Brant Haldimand Norfolk CDSB","834963",,,"Yes
","0"
"669","Thompson Creek ES","800 Cross St W","Dunnville","N1A1N7","Grand Erie DSB","153931","Yes",,"
","0"
"670","Dunsford District Elementary School","33 Dunsford Rd RR 2","Dunsford","K0M1L0","Trillium Lakelands DSB","154113","Yes",,"
","0"
"671","Spruce Ridge Community School","239 Kincardine Street","Durham","N0G1R0","Bluewater DSB","155683","Yes",,"
","0"
"672","St. Peter's & St. Paul's School","190 John St W","Durham","N0G1R0","Bruce-Grey CDSB","705098","Yes",,"
","0"
"673","Dunwich-Dutton Public School","239 Miller Rd","Dutton","N0L1J0","Thames Valley DSB","155810","Yes",,"
","0"
"674","Ear Falls Public School","40 Spruce St","Ear Falls","P0V1T0","Keewatin-Patricia DSB","157503","Yes",,"
","0"
"675","East Garafraxa Public School","063066 County Road #3 RR 3","East Garafraxa","L9W7J1","Upper Grand DSB","208310","Yes",,"
","0"
"676","Good Shepherd CES","19112 2nd Concession Road RR 1","East Gwillimbury","L9N0H2","York CDSB","708062",,,"Yes
","0"
"677","Chester E.S.","115 Gowan Ave","East York","M4K2E4","Toronto DSB","106151","Yes"," "," 
","0"
"678","Crescent Town PS","4 Massey Square","East York","M4C5M9","Toronto DSB","127680","Yes"," ","Yes
","0"
"679","D.A. Morrison M.S.","271 Gledhill Ave","East York","M4C4L2","Toronto DSB","413470","Yes","Yes"," 
","0"
"680","East York Alternative SS","670 Cosburn Ave","East York","M4C2V2","Toronto DSB","906875","Yes"," "," 
","0"
"681","East York C.I.","650 Cosburn Ave","East York","M4C2V2","Toronto DSB","906840","Yes"," "," 
","0"
"682","George Webster PS","2 Cedarcrest Blvd","East York","M4B2N9","Toronto DSB","213535","Yes","Yes","Yes
","0"
"683","Gordon A. Brown M.S.","2800 St Clair Ave E","East York","M4B1N2","Toronto DSB","529567","Yes"," "," 
","0"
"684","Parkside E.S.","401 Cedarvale Ave","East York","M4C4K7","Toronto DSB","435180","Yes"," "," 
","0"
"685","Secord PS","101 Barrington Ave","East York","M4C4Y9","Toronto DSB","504998","Yes","Yes"," 
","0"
"686","Thorncliffe Pk. PS","80 Thorncliffe Park Dr","East York","M4H1K3","Toronto DSB","552704","Yes"," "," 
","0"
"687","Valley Park Middle School","130 Overlea Blvd","East York","M3C1B2","Toronto DSB","569135","Yes"," "," 
","0"
"688","William Burgess PS","100 Torrens Ave","East York","M4J2P5","Toronto DSB","607304","Yes"," "," 
","0"
"689","Echo Bay Central Public School","290 Church St","Echo Bay","P0S1C0","Algoma DSB","165042","Yes"," "," 
","0"
"690","Eganville & District PS","259 Jane St","Eganville","K0J1T0","Renfrew County DSB","167380","Yes"," ","Yes
","0"
"691","St James Sep S","70 Wellington St","Eganville","K0J1T0","Renfrew County CDSB","798568","Yes"," ","Yes
","0"
"692","Baxter Central P.S..","62 Denney Dr","Egbert","L0L1N0","Simcoe County DSB","34762","Yes",,"
","0"
"693","Rideau DHS","251 Main Street RR 2","Elgin","K0G1E0","Upper Canada DSB","26666","Yes",,"
","0"
"694","Rideau DHS","251 Main Street RR 2","Elgin","K0G1E0","Upper Canada DSB","26666","Yes",,"
","0"
"695","South Crosby PS","1 Halladay Street","Elgin","K0G1E0","Upper Canada DSB","129038","Yes",,"
","0"
"696","Elk Lake PS","41 First St","Elk Lake","P0J1G0","DSB Ontario North East","282170","Yes"," "," 
","0"
"697","Central Avenue Public School","81 Central Ave","Elliot Lake","P5A2G4","Algoma DSB","93548","Yes"," "," 
","0"
"698","Elliot Lake Secondary School","303 Mississauga Ave","Elliot Lake","P5A1E8","Algoma DSB","908010","Yes"," "," 
","0"
"699","North Shore Adolescent Education School","303 Mississauga Ave","Elliot Lake","P5A1R9","Algoma DSB","891150","Yes"," "," 
","0"
"700","Our Lady of Fatima Catholic School","140 Hillside Dr N","Elliot Lake","P5A1X7","Huron-Superior CDSB","742929","Yes"," "," 
","0"
"701","Our Lady of Lourdes French Immersion Catholic School","139 Mississauga Ave","Elliot Lake","P5A1E3","Huron-Superior CDSB","745260","Yes"," "," 
","0"
"702","Elmira District Seconday School","4 University Ave","Elmira  ","N3B1K2","Waterloo Region DSB","908142","Yes",,"
","0"
"703","St. Teresa of Avila Catholic School - Elmira","89 First St W","Elmira  ","N3B1G5","Waterloo CDSB","851736","Yes",,"
","0"
"704","Elmvale District High School","25 Lawson St","Elmvale","L0L1P0","Simcoe County DSB","908274","Yes",,"
","0"
"705","Huronia Cenntennial Elementary School","28 Simcoe St","Elmvale","L0L1P0","Simcoe County DSB","274542","Yes",,"
","0"
"706","Our Lady of Lourdes Catholic Elementary School","34 Kerr Street","Elmvale","L0L1P0","Simcoe Muskoka CDSB","745391","Yes",,"
","0"
"707","Elora Public School - Lunch Program","288 Mill St E","Elora","N0B1S0","Upper Grand DSB","178969","Yes",,"
","0"
"708","Elora Public School - Snack Program","288 Mill St E","Elora","N0B1S0","Upper Grand DSB","178969","Yes",,"
","0"
"709","Salem Public School","23 Woolwich ST","Elora","N0B1S0","Upper Grand DSB","497193","Yes",,"
","0"
"710","St. Mary Catholic School - Elora","251 Irvine St","Elora","N0B1S0","Wellington CDSB","825476","Yes",,"
","0"
"711","Zorra Highland Park","County Road 6 RR 1","Embro","N0J1J0","Thames Valley DSB","627194",,,"Yes
","0"
"712","Cambridge PS","2123 Route 500 West","Embrun","K0A1W0","Upper Canada DSB","76643","Yes",,"
","0"
"713","E Elem C Embrun - Pav. Saint-Jean/Pav. La Croisee","1045 Notre-Dame rue","Embrun","K0A1W0","CSDC de l'Est ontarien","754102","Yes",,"
","0"
"714","EI catholique - Pavillon Embrun","1276 St-Jacques rue","Embrun","K0A1W0","CSDC de l'Est ontarien","733228","Yes",,"
","0"
"715","Donald Young School","Highway 602 Hwy","Emo","P0W1E0","Rainy River DSB","141518",,"Yes","
","0"
"716","Sturgeon Creek Alternative Program","Highway 602 Hwy","Emo","P0W1E0","Rainy River DSB","141518",,,"Yes
","0"
"717","Sturgeon Creek School","Barwick Rd N","Emo","P0W1E0","Rainy River DSB","540005",,"Yes","
","0"
"718","Evergreen Heights","2510 Highway 592","Emsdale","P0A1J0","Near North DSB","190411","Yes",,"
","0"
"719","Englehart HS","61 Fourth St","Englehart","P0J1H0","DSB Ontario North East","908924","Yes"," "," 
","0"
"720","Englehart PS","70 Eighth Ave","Englehart","P0J1H0","DSB Ontario North East","181552","Yes"," "," 
","0"
"721","Holy Family S","80 Eighth Avenue","Englehart","P0J1H0","Northeastern CDSB","716537","Yes"," "," 
","0"
"722","Brisbane Public School","9426 WELLINGTON RD 124 2","Erin","N0B1T0","Upper Grand DSB","185191","Yes",,"
","0"
"723","Erin District High School","14 Boland Dr","Erin","N0B1T0","Upper Grand DSB","909050","Yes",,"
","0"
"724","Erin Public School","185 Daniel St","Erin","N0B1T0","Upper Grand DSB","185582","Yes",,"
","0"
"725","A B Ellis","128 Park St","Espanola","P5E1S7","Rainbow DSB","185930","Yes",," 
","0"
"726","E Sep Saint-Joseph","333 Mead boulevard","Espanola","P5E1C4","CSDC du Nouvel-Ontario","808180","Yes",," 
","0"
"727","ES C Franco-Ouest","147 Spruce rue","Espanola","P5E1R7","CSDC du Nouvel-Ontario","704989","Yes",," 
","0"
"728","Espanola HS","147 Spruce St","Espanola","P5E1R7","Rainbow DSB","909319","Yes",," 
","0"
"729","Sacred Heart CS","128 Park Street","Espanola","P5E1B3","Huron-Superior CDSB","755923","Yes",," 
","0"
"730","Essex DHS","244 Talbot St N","Essex","N8M2E1","Greater Essex County DSB","909440","Yes",,"
","0"
"731","Holy Name Catholic Elementary","200 Fairview Ave W","Essex","N8M1Y1","Windsor-Essex CDSB","717835",,,"Yes
","0"
"732","Northwood Elementary School","84925 Ethel Line","Ethel","N0G1T0","Avon Maitland DSB","578519",,,"Yes
","0"
"733","Beaumonde Heights Jr Md S","70 Monterrey Dr","Etobicoke","M9V1T1","Toronto DSB","38032","Yes"," "," 
","0"
"734","Braeburn Jr S","15 Tandridge Cres","Etobicoke","M9W2N8","Toronto DSB","57100","Yes","Yes"," 
","0"
"735","Broadacres Jr PS","45 Crendon Dr","Etobicoke","M9C3G6","Toronto DSB","63649","Yes"," "," 
","0"
"736","Burnhamthorpe CI","500 The East Mall","Etobicoke","M9B2C4","Toronto DSB","897485","Yes"," "," 
","0"
"737","Claireville J.S.","350 Silverstone Dr","Etobicoke","M9V3J4","Toronto DSB","107948","Yes"," "," 
","0"
"738","David Hornell PS","32 Victoria St","Etobicoke","M8V1M6","Toronto DSB","134627","Yes"," "," 
","0"
"739","Dixon Grove J. M. S.","315 The Westway","Etobicoke","M9R1H1","Toronto DSB","140996","Yes"," "," 
","0"
"740","E Elem Felix-Leclerc","50 Celestine promenade","Etobicoke","M9R3N3","CS Viamonde","194069","Yes"," "," 
","0"
"741","Eatonville Jr School","15 Rossburn Dr","Etobicoke","M9C2P7","Toronto DSB","164780","Yes"," "," 
","0"
"742","Elmbank PS","10 Pittsboro Dr","Etobicoke","M9V3R4","Toronto DSB","176796","Yes"," ","Yes
","0"
"743","Elmlea J.S.","50 Hadrian Dr","Etobicoke","M9W1V4","Toronto DSB","177261","Yes"," "," 
","0"
"744","Etobicoke C.I.","86 Montgomery Rd","Etobicoke","M9A3N5","Toronto DSB","909572","Yes"," "," 
","0"
"745","Greenholme Jr Middle School   ","10 Jamestown Cres","Etobicoke","M9V3M5","Toronto DSB","229580","Yes"," "," 
","0"
"746","Highfield Jr S","85 Mount Olive Dr","Etobicoke","M9V2C9","Toronto DSB","255521","Yes","Yes"," 
","0"
"747","James S. Bell Jr Middle School","90 Thirty First St","Etobicoke","M8W3E9","Toronto DSB","282049",,"Yes"," 
","0"
"748","John D Parker","202 Mount Olive Dr","Etobicoke","M9V3Z5","Toronto DSB","283436","Yes"," "," 
","0"
"749","Lakeshore C.I. ","350 Kipling Ave","Etobicoke","M8V3L1","Toronto DSB","921092","Yes","Yes"," 
","0"
"750","Melody Village Jr S","520 Silverstone Dr","Etobicoke","M9V3L5","Toronto DSB","360198","Yes"," "," 
","0"
"751","North Kipling Jr M.S.","2 Rowntree Rd","Etobicoke","M9V5C7","Toronto DSB","407291","Yes"," "," 
","0"
"752","Parkfield Jr S","31 Redgrave Dr","Etobicoke","M9R3T9","Toronto DSB","434400","Yes"," "," 
","0"
"753","Second St Jr M.S.","71 Second St","Etobicoke","M8V2X4","Toronto DSB","504866","Yes"," "," 
","0"
"754","Seneca School","580 Rathburn Rd","Etobicoke","M9C3T3","Toronto DSB","505587","Yes"," "," 
","0"
"755","Seventh Street Jr PS","101 Seventh St","Etobicoke","M8V3B5","Toronto DSB","506036","Yes"," "," 
","0"
"756","Smithfield Middle School","175 Mount Olive Dr","Etobicoke","M9V2E3","Toronto DSB","518840","Yes"," "," 
","0"
"757","The Elms Jr M.S.","45 Golfdown Dr","Etobicoke","M9W2H8","Toronto DSB","551279","Yes"," ","Yes
","0"
"758","Twentieth St Jr S.","3190 Lake Shore Blvd W","Etobicoke","M8V1L8","Toronto DSB","563234","Yes"," "," 
","0"
"759","Valleyfield Jr School","35 Saskatoon Dr","Etobicoke","M9P2E8","Toronto DSB","569607","Yes"," "," 
","0"
"760","Wellesworth Jr S","225 Wellesworth Dr","Etobicoke","M9C4S5","Toronto DSB","593915","Yes"," "," 
","0"
"761","West Glen Jr School","47 Cowley Ave","Etobicoke","M9B2E4","Toronto DSB","595608","Yes"," "," 
","0"
"762","Westway Jr PS","25 Poynter Dr","Etobicoke","M9R1K8","Toronto DSB","603015","Yes"," "," 
","0"
"763","Tosorontio Central Public School","7016 County Rd 13 RR 3","Everett","L0M1J0","Simcoe County DSB","557897","Yes",,"Yes
","0"
"764","COPE Exeter","..","Exeter","N0M1S6","..","403","Yes",,"
","0"
"765","Exeter Elementary School","93 VICTORIA ST E","Exeter","N0M1S1","Avon Maitland DSB","190527",,,"Yes
","0"
"766","Precious Blood School","133 Sanders St W","Exeter","N0M1S2","Huron Perth CDSB","706396",,,"Yes
","0"
"767","South Huron District High School","92 Gidley St E","Exeter","N0M1S6","Avon Maitland DSB","943118",,,"Yes
","0"
"768","Fenelon Falls Secondary School","66 Lindsay St","Fenelon Falls","K0M1N0","Trillium Lakelands DSB","909700","Yes","Yes","
","0"
"769","Langton Public School","35 Wychwood Cres","Fenelon Falls","K0M1N0","Trillium Lakelands DSB","307947","Yes",,"
","0"
"770","Fenelon Alternate Education and Training Centre","230 Angeline St S","Fenlon Falls","K0M1N0","Trillium Lakelands DSB","890170","Yes",,"
","0"
"771","St. Ann - Fenwick/Pelham","832 Canboro Rd","Fenwick/Pelham","L0S1C0","Niagara CDSB","770612","Yes",,"
","0"
"772","Centre Wellington DHS - Lunch","905 Scotland St","Fergus","N1M1Y7","Upper Grand DSB","909831","Yes",,"
","0"
"773","Centre Wellington District High School - Breakfast","905 Scotland St","Fergus","N1M1Y7","Upper Grand DSB","909831","Yes",,"
","0"
"774","J. D. Hogarth - lunch","360 Belsyde St E","Fergus","N1M1Z5","Upper Grand DSB","282324","Yes",,"
","0"
"775","J.D. Hogarth","360 Belsyde St E","Fergus","N1M1Z5","Upper Grand DSB","282324","Yes",,"
","0"
"776","James McQueen","365 St George St W","Fergus","N1M1J4","Upper Grand DSB","281522","Yes",,"
","0"
"777","St. Joseph Catholic School - Fergus","150 Strathallan St","Fergus","N1M1A1","Wellington CDSB","808318","Yes",,"
","0"
"778","Victoria Terrace Public School","500 Victoria Terrace","Fergus","N1M2G5","Upper Grand DSB","576107","Yes",,"
","0"
"779","Rainham Central School","572 Concession 5 RR 1","Fisherville","N0A1G0","Grand Erie DSB","469505","Yes",,"
","0"
"780","Grey Highlands Secondary School","Box 460","Flesherton","N0C1E0","Bluewater DSB","914444","Yes",,"
","0"
"781","MacPhail Memorial Elementary School","49 Campbell St","Flesherton","N0C1E0","Bluewater DSB","198978","Yes",,"
","0"
"782","Floradale Public School","35 Florapine Rd","Floradale  ","N3B2Z1","Waterloo Region DSB","199389","Yes",,"
","0"
"783","Hillside Kettle Point School","..","Forest","N0N1J0","..","106","Yes",,"
","0"
"784","Kinnwood Central School","63 MacDonald St","Forest","N0N1J0","Lambton Kent DSB","619787","Yes",,"
","0"
"785","North Lambton Secondary School","15-19 George St","Forest","N0N1J0","Lambton Kent DSB","910228","Yes",,"
","0"
"786","North Lambton Secondary School-SWAC","..","Forest","N0N1Jo","..","107","Yes",,"
","0"
"787","Immaculate Conception School","201 Concession 12","Formosa","N0G1W0","Bruce-Grey CDSB","721255","Yes",,"
","0"
"788","Fort Erie Pathways - Second Chance - Connect","7 Tait Ave","Fort Erie","L2A3T7","DSB Niagara","910740","Yes","Yes","Yes
","0"
"789","Fort Erie Secondary","7 Tait Ave","Fort Erie","L2A3P1","DSB Niagara","910740","Yes",,"
","0"
"790","Garrison Road","1110 Garrison Rd","Fort Erie","L2A1N9","DSB Niagara","210358","Yes",,"
","0"
"791","Our Lady of Victory Jr./Sr.","300 Central Ave","Fort Erie","L2A3T3","Niagara CDSB","749427","Yes",,"
","0"
"792","Peace Bridge Public - Kids to Youth","105 Torrance St","Fort Erie","L2A2C1","DSB Niagara","557773",,,"Yes
","0"
"793","Peace Bridge Public School","105 Torrance St","Fort Erie","L2A2C1","DSB Niagara","557773","Yes",,"
","0"
"794","Sherkston Bridge","..","Fort Erie","L2A5M4","..","484695","Yes","Yes","Yes
","0"
"795","St. Philomena","1332 Phillips St","Fort Erie","L2A3C2","Niagara CDSB","846147",,,"Yes
","0"
"796","Fort Frances High School","440 McIrvine Rd","Fort Frances","P9A3T8","Rainy River DSB","910872","Yes",,"
","0"
"797","J W Walker PS","475 Keating Ave","Fort Frances","P9A3K8","Rainy River DSB","280747","Yes",,"
","0"
"798","Robert Moore School","528 Second St E","Fort Frances","P9A1N4","Rainy River DSB","487830","Yes",,"
","0"
"799","St Michaels S","820 Fifth St E","Fort Frances","P9A1V4","Northwest CDSB","834181",,,"Yes
","0"
"800","St. Francis Sep S","675 Flinders Ave","Fort Frances","P9A3L2","Northwest CDSB","790249",,,"Yes
","0"
"801","Gananoque SS","175 William Street South","Gananoque","K7G1S8","Upper Canada DSB","911526","Yes",,"
","0"
"802","Linklater PS","300 Stone Street North","Gananoque","K7G1Y8","Upper Canada DSB","314153","Yes",,"
","0"
"803","Linklater PS","300 Stone Street North","Gananoque","K7G1Y8","Upper Canada DSB","314153","Yes",,"
","0"
"804","St Joseph's Sep S","235 Georgiana St","Gananoque","K7G1M9","CDSB of Eastern Ontario","813907","Yes",,"
","0"
"805","Northeastern E S","45 Spruce St","Garson","P3L1P8","Rainbow DSB","410918","Yes",," 
","0"
"806","Centennial","233 Delrex Blvd","Georgetown","L7G4G1","Halton DSB","90140","Yes",,"
","0"
"807","Christ the King SS","161 Guelph St","Georgetown","L7G4A1","Halton CDSB","697125","Yes",,"
","0"
"808","Christ the King SS","161 Guelph St","Georgetown","L7G4A1","Halton CDSB","697125","Yes",,"
","0"
"809","Christ the King SS","161 Guelph St","Georgetown","L7G4A1","Halton CDSB","697125","Yes",,"
","0"
"810","Ethel Gardiner","14365 Danby Road","Georgetown","L7G6L8","Halton DSB","180123","Yes",,"
","0"
"811","Gary Allan -HH ","96 Guelph St","Georgetown","L7N3Z5","Halton DSB","890405","Yes",,"
","0"
"812","George Kennedy","75 Weber Dr","Georgetown","L7G1C5","Halton DSB","212369","Yes",,"
","0"
"813","George Kennedy","75 Weber Dr","Georgetown","L7G1C5","Halton DSB","212369","Yes",,"
","0"
"814","Georgetown District HS","70 Guelph St","Georgetown","L7G3Z5","Halton DSB","912433","Yes",,"
","0"
"815","Georgetown District HS","70 Guelph St","Georgetown","L7G3Z5","Halton DSB","912433","Yes",,"
","0"
"816","Georgetown District HS","70 Guelph St","Georgetown","L7G3Z5","Halton DSB","912433","Yes",,"
","0"
"817","Harrison","59 Rexway Dr","Georgetown","L7G1P9","Halton DSB","245259","Yes",,"
","0"
"818","Holy Cross","222 Maple Ave","Georgetown","L7G1X2","Halton CDSB","714712","Yes",,"
","0"
"819","Joseph Gibbons","41 Moore Park Cres","Georgetown","L7G2T3","Halton DSB","286087","Yes",,"
","0"
"820","Joseph Gibbons","41 Moore Park Cres","Georgetown","L7G2T3","Halton DSB","286087","Yes",,"
","0"
"821","Pineview","13074 5 Side Rd RR 2","Georgetown","L7G4S5","Halton DSB","445452","Yes",,"
","0"
"822","St. Frances of Assissi","120 Sinclair","Georgetown","L7G1J4","Halton CDSB","792039","Yes",,"
","0"
"823","B A Parker PS","Hogarth Ave","Geraldton","P0T1M0","Superior-Greenstone DSB","214574","Yes",,"Yes
","0"
"824","St Joseph Separate School","308 Fourth St N","Geraldton","P0T1M0","Superior North CDSB","808571","Yes",,"Yes
","0"
"825","Glen Williams ","512 Main St","Glen Williams","L7G3S8","Halton DSB","220523","Yes",,"
","0"
"826","Glen Williams ","512 Main St","Glen Williams","L7G3S8","Halton DSB","220523","Yes",,"
","0"
"827","Ekcoe Central Public School","3719 PARKHOUSE DR","Glencoe","N0L1M0","Thames Valley DSB","167738","Yes",,"
","0"
"828","Glencoe District High School","3581 Concession St","Glencoe","N0L1M0","Thames Valley DSB","912824","Yes",,"
","0"
"829","Goderich District Collegiate Institute","260 South St","Goderich","N7A3M5","Avon Maitland DSB","913600","Yes",,"
","0"
"830","Goderich Public School","125 Blake St W","Goderich","N7A1Z1","Avon Maitland DSB","478133","Yes",,"
","0"
"831","St. Mary's School Goderich","70 Bennett St E","Goderich","N7A1A4","Huron Perth CDSB","827940",,," 
","0"
"832","Goodwood Public School","4340 Front St","Goodwood","L0C1A0","Durham DSB","567787",,,"Yes
","0"
"833","Charles C McLean PS","43 Hall St","Gore Bay","P0P1H0","Rainbow DSB","101478","Yes",," 
","0"
"834","Plainville Public School","4877 Burnham St N RR #1","Gores Landing","K0K2E0","Kawartha Pine Ridge DSB","241610","Yes",,"Yes
","0"
"835","Gorham & Ware Community School","2032 Kam-Current Rd 14","Gorham","P7G0K5","Lakehead DSB","222372","Yes",,"
","0"
"836","Mountain View Public School","Mahler Rd 1","Goulais River","P0S1E0","Algoma DSB","195200","Yes"," ","Yes  
","0"
"837","Grafton Public School","654 Station Rd","Grafton","K0K2G0","Kawartha Pine Ridge DSB","240184","Yes",,"Yes
","0"
"838","Grand Bend PublicSchool","15 Gill Rd","Grand Bend","N0M1T0","Lambton Kent DSB","226661",,,"Yes
","0"
"839","Grand Valley Public School","120 Main St N RR 2","Grand Valley","L9W7N4","Upper Grand DSB","226793","Yes",,"
","0"
"840","Gravenhurst Public","301 Mary St S","Gravenhurst","P1P1X6","Trillium Lakelands DSB","228877","Yes",,"
","0"
"841","Gravenhurst Secondary School","325 Mary St S","Gravenhurst","P1P1B8","Trillium Lakelands DSB","914380","Yes",,"
","0"
"842","Muskoka Beechgrove ","395 Muskoka Beach Rd","Gravenhurst","P2P2M9","Trillium Lakelands DSB","382140","Yes",,"
","0"
"843","Greenbank Public School","1325 Cragg Rd","Greenbank","L0C1B0","Durham DSB","477435","Yes",,"
","0"
"844","Valley View Public School","3530 Westney Rd","Greenwood","L0H1H0","Durham DSB","569216","Yes",,"
","0"
